Tipo de instancia,CPU virtuales,Núcleos,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Rendimiento de la red,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
im4gn.xlarge,4,4,2.5,16,1875,25 Gigabit,0.42209 USD por hora,,0.47839 USD por hora,0.48209 USD por hora
im4gn.2xlarge,8,8,2.5,32,3750,25 Gigabit,0.84418 USD por hora,,0.96918 USD por hora,0.97418 USD por hora
im4gn.4xlarge,16,16,2.5,64,7500,25 Gigabit,1.68837 USD por hora,,1.81337 USD por hora,1.81837 USD por hora
im4gn.8xlarge,32,32,2.5,128,15000,50 Gigabit,3.37674 USD por hora,,3.50174 USD por hora,3.50674 USD por hora
im4gn.16xlarge,64,64,2.5,256,30000,100 Gigabit,6.75347 USD por hora,,6.87847 USD por hora,6.88347 USD por hora
inf1.xlarge,4,2,2.5,8,-,25 Gigabit,0.267 USD por hora,,0.324 USD por hora,0.327 USD por hora
inf1.2xlarge,8,4,2.5,16,-,25 Gigabit,0.424 USD por hora,,0.549 USD por hora,0.554 USD por hora
inf1.6xlarge,24,12,2.5,48,-,25 Gigabit,1.382 USD por hora,,1.507 USD por hora,1.512 USD por hora
inf1.24xlarge,96,48,2.5,192,-,100 Gigabit,5.53 USD por hora,,5.655 USD por hora,5.66 USD por hora
is4gen.medium,1,1,2.5,6,937,25 Gigabit,0.16766 USD por hora,,0.22396 USD por hora,0.22766 USD por hora
is4gen.large,2,2,2.5,12,1875,25 Gigabit,0.33533 USD por hora,,0.39163 USD por hora,0.39533 USD por hora
is4gen.xlarge,4,4,2.5,24,3750,25 Gigabit,0.67065 USD por hora,,0.72695 USD por hora,0.73065 USD por hora
is4gen.2xlarge,8,8,2.5,48,7500,25 Gigabit,1.3413 USD por hora,,1.4663 USD por hora,1.4713 USD por hora
is4gen.4xlarge,16,16,2.5,96,15000,25 Gigabit,2.68261 USD por hora,,2.80761 USD por hora,2.81261 USD por hora
is4gen.8xlarge,32,32,2.5,192,30000,50 Gigabit,5.36522 USD por hora,,5.49022 USD por hora,5.49522 USD por hora
m4.large,2,1,2.4,8,-,Moderate,0.116 USD por hora,0.208 USD por hora,0.216 USD por hora,0.176 USD por hora
m4.xlarge,4,2,2.4,16,-,High,0.232 USD por hora,0.416 USD por hora,0.332 USD por hora,0.292 USD por hora
m4.2xlarge,8,4,2.4,32,-,High,0.464 USD por hora,0.832 USD por hora,0.564 USD por hora,0.594 USD por hora
m4.4xlarge,16,8,2.4,64,-,High,0.928 USD por hora,1.664 USD por hora,1.028 USD por hora,1.058 USD por hora
m4.10xlarge,40,20,2.4,160,-,10 Gigabit,2.32 USD por hora,4.16 USD por hora,2.42 USD por hora,2.45 USD por hora
m4.16xlarge,64,32,2.3,256,-,25 Gigabit,3.712 USD por hora,6.656 USD por hora,3.812 USD por hora,3.842 USD por hora
m5.large,2,1,3.1,8,-,10 Gigabit,0.111 USD por hora,0.203 USD por hora,0.167 USD por hora,0.171 USD por hora
m5.xlarge,4,2,3.1,16,-,10 Gigabit,0.222 USD por hora,0.406 USD por hora,0.278 USD por hora,0.282 USD por hora
m5.2xlarge,8,4,3.1,32,-,10 Gigabit,0.444 USD por hora,0.812 USD por hora,0.544 USD por hora,0.574 USD por hora
m5.4xlarge,16,8,3.1,64,-,10 Gigabit,0.888 USD por hora,1.624 USD por hora,0.988 USD por hora,1.018 USD por hora
m5.8xlarge,32,16,3.1,128,-,10 Gigabit,1.776 USD por hora,3.248 USD por hora,1.876 USD por hora,1.906 USD por hora
m5.12xlarge,48,24,3.1,192,-,12 Gigabit,2.664 USD por hora,4.872 USD por hora,2.764 USD por hora,2.794 USD por hora
m5.16xlarge,64,32,3.1,256,-,20 Gigabit,3.552 USD por hora,6.496 USD por hora,3.652 USD por hora,3.682 USD por hora
m5.24xlarge,96,48,3.1,384,-,25 Gigabit,5.328 USD por hora,9.744 USD por hora,5.428 USD por hora,5.458 USD por hora
m5.metal,96,48,3.1,384,-,25 Gigabit,5.328 USD por hora,9.744 USD por hora,5.428 USD por hora,5.458 USD por hora
m5a.large,2,1,2.5,8,-,10 Gigabit,0.1 USD por hora,0.192 USD por hora,0.156 USD por hora,0.16 USD por hora
m5a.xlarge,4,2,2.5,16,-,10 Gigabit,0.2 USD por hora,0.384 USD por hora,0.256 USD por hora,0.26 USD por hora
m5a.2xlarge,8,4,2.5,32,-,10 Gigabit,0.4 USD por hora,0.768 USD por hora,0.525 USD por hora,0.53 USD por hora
m5a.4xlarge,16,8,2.5,64,-,10 Gigabit,0.8 USD por hora,1.536 USD por hora,0.925 USD por hora,0.93 USD por hora
m5a.8xlarge,32,16,2.5,128,-,10 Gigabit,1.6 USD por hora,3.072 USD por hora,1.725 USD por hora,1.73 USD por hora
m5a.12xlarge,48,24,2.5,192,-,10 Gigabit,2.4 USD por hora,4.608 USD por hora,2.525 USD por hora,2.53 USD por hora
m5a.16xlarge,64,32,2.5,256,-,12 Gigabit,3.2 USD por hora,6.144 USD por hora,3.325 USD por hora,3.33 USD por hora
m5a.24xlarge,96,48,2.5,384,-,20 Gigabit,4.8 USD por hora,9.216 USD por hora,4.925 USD por hora,4.93 USD por hora
m5ad.large,2,1,2.2,8,75,10 Gigabit,0.12 USD por hora,0.212 USD por hora,0.176 USD por hora,0.18 USD por hora
m5ad.xlarge,4,2,2.2,16,150,10 Gigabit,0.24 USD por hora,0.424 USD por hora,0.296 USD por hora,0.3 USD por hora
m5ad.2xlarge,8,4,2.2,32,300,10 Gigabit,0.48 USD por hora,0.848 USD por hora,0.605 USD por hora,0.61 USD por hora
m5ad.4xlarge,16,8,2.2,64,600,10 Gigabit,0.96 USD por hora,1.696 USD por hora,1.085 USD por hora,1.09 USD por hora
m5ad.8xlarge,32,16,2.5,128,1200,10 Gigabit,1.92 USD por hora,3.392 USD por hora,2.045 USD por hora,2.05 USD por hora
m5ad.12xlarge,48,24,2.2,192,1800,10 Gigabit,2.88 USD por hora,5.088 USD por hora,3.005 USD por hora,3.01 USD por hora
m5ad.16xlarge,64,32,2.5,256,2400,12 Gigabit,3.84 USD por hora,6.784 USD por hora,3.965 USD por hora,3.97 USD por hora
m5ad.24xlarge,96,48,2.2,384,3600,20 Gigabit,5.76 USD por hora,10.176 USD por hora,5.885 USD por hora,5.89 USD por hora
m5d.large,2,1,3.1,8,75,10 Gigabit,0.131 USD por hora,0.223 USD por hora,0.187 USD por hora,0.191 USD por hora
m5d.xlarge,4,2,3.1,16,150,10 Gigabit,0.262 USD por hora,0.446 USD por hora,0.318 USD por hora,0.322 USD por hora
m5d.2xlarge,8,4,3.1,32,300,10 Gigabit,0.524 USD por hora,0.892 USD por hora,0.624 USD por hora,0.654 USD por hora
m5d.4xlarge,16,8,3.1,64,600,10 Gigabit,1.048 USD por hora,1.784 USD por hora,1.148 USD por hora,1.178 USD por hora
m5d.8xlarge,32,16,3.1,128,1200,10 Gigabit,2.096 USD por hora,3.568 USD por hora,2.196 USD por hora,2.226 USD por hora
m5d.12xlarge,48,24,3.1,192,1800,12 Gigabit,3.144 USD por hora,5.352 USD por hora,3.244 USD por hora,3.274 USD por hora
m5d.16xlarge,64,32,3.1,256,2400,20 Gigabit,4.192 USD por hora,7.136 USD por hora,4.292 USD por hora,4.322 USD por hora
m5d.24xlarge,96,48,3.1,384,3600,25 Gigabit,6.288 USD por hora,10.704 USD por hora,6.388 USD por hora,6.418 USD por hora
m5d.metal,96,48,3.1,384,3600,25 Gigabit,6.288 USD por hora,10.704 USD por hora,6.388 USD por hora,6.418 USD por hora
m6a.large,2,1,3.6,8,-,12.5 Gigabit,0.0999 USD por hora,0.1919 USD por hora,0.1562 USD por hora,0.1599 USD por hora
m6a.xlarge,4,2,3.6,16,-,12.5 Gigabit,0.1998 USD por hora,0.3838 USD por hora,0.2561 USD por hora,0.2598 USD por hora
m6a.2xlarge,8,4,3.6,32,-,12.5 Gigabit,0.3996 USD por hora,0.7676 USD por hora,0.5246 USD por hora,0.5296 USD por hora
m6a.4xlarge,16,8,3.6,64,-,12.5 Gigabit,0.7992 USD por hora,1.5352 USD por hora,0.9242 USD por hora,0.9292 USD por hora
m6a.8xlarge,32,16,3.6,128,-,12.5 Gigabit,1.5984 USD por hora,3.0704 USD por hora,1.7234 USD por hora,1.7284 USD por hora
m6a.12xlarge,48,24,3.6,192,-,18.75 Gigabit,2.3976 USD por hora,4.6056 USD por hora,2.5226 USD por hora,2.5276 USD por hora
m6a.16xlarge,64,32,3.6,256,-,25 Gigabit,3.1968 USD por hora,6.1408 USD por hora,3.3218 USD por hora,3.3268 USD por hora
m6a.24xlarge,96,48,3.6,384,-,37.5 Gigabit,4.7952 USD por hora,9.2112 USD por hora,4.9202 USD por hora,4.9252 USD por hora
m6a.32xlarge,128,64,3.6,512,-,50 Gigabit,6.3936 USD por hora,12.2816 USD por hora,6.5186 USD por hora,6.5236 USD por hora
m6a.48xlarge,192,96,3.6,768,-,50 Gigabit,9.5904 USD por hora,18.4224 USD por hora,9.7154 USD por hora,9.7204 USD por hora
m6a.metal,192,96,3.6,768,-,50 Gigabit,9.5904 USD por hora,18.4224 USD por hora,9.7154 USD por hora,9.7204 USD por hora
m6g.medium,1,1,2.5,4,-,10 Gigabit,0.0444 USD por hora,,0.0754 USD por hora,0.1044 USD por hora
m6g.large,2,2,2.5,8,-,10 Gigabit,0.0888 USD por hora,,0.1451 USD por hora,0.1488 USD por hora
m6g.xlarge,4,4,2.5,16,-,10 Gigabit,0.1776 USD por hora,,0.2339 USD por hora,0.2376 USD por hora
m6g.2xlarge,8,8,2.5,32,-,10 Gigabit,0.3552 USD por hora,,0.4802 USD por hora,0.4852 USD por hora
m6g.4xlarge,16,16,2.5,64,-,10 Gigabit,0.7104 USD por hora,,0.8354 USD por hora,0.8404 USD por hora
m6g.8xlarge,32,32,2.5,128,-,12 Gigabit,1.4208 USD por hora,,1.5458 USD por hora,1.5508 USD por hora
m6g.12xlarge,48,48,2.5,192,-,20 Gigabit,2.1312 USD por hora,,2.2562 USD por hora,2.2612 USD por hora
m6g.16xlarge,64,64,2.5,256,-,25 Gigabit,2.8416 USD por hora,,2.9666 USD por hora,2.9716 USD por hora
m6g.metal,64,64,2.5,256,-,25 Gigabit,2.8416 USD por hora,,2.9666 USD por hora,2.9716 USD por hora
m6gd.medium,1,1,2.5,4,59,10 Gigabit,0.0524 USD por hora,,0.0834 USD por hora,0.1124 USD por hora
m6gd.large,2,2,2.5,8,118,10 Gigabit,0.1048 USD por hora,,0.1611 USD por hora,0.1648 USD por hora
m6gd.xlarge,4,4,2.5,16,237,10 Gigabit,0.2096 USD por hora,,0.2659 USD por hora,0.2696 USD por hora
m6gd.2xlarge,8,8,2.5,32,474,10 Gigabit,0.4192 USD por hora,,0.5442 USD por hora,0.5492 USD por hora
m6gd.4xlarge,16,16,2.5,64,950,10 Gigabit,0.8384 USD por hora,,0.9634 USD por hora,0.9684 USD por hora
m6gd.8xlarge,32,32,2.5,128,1900,12 Gigabit,1.6768 USD por hora,,1.8018 USD por hora,1.8068 USD por hora
m6gd.12xlarge,48,48,2.5,192,2850,20 Gigabit,2.5152 USD por hora,,2.6402 USD por hora,2.6452 USD por hora
m6gd.16xlarge,64,64,2.5,256,3800,25 Gigabit,3.3536 USD por hora,,3.4786 USD por hora,3.4836 USD por hora
m6gd.metal,64,64,2.5,256,3800,25 Gigabit,3.3536 USD por hora,,3.4786 USD por hora,3.4836 USD por hora
m6i.large,2,1,3.5,8,-,12.5 Gigabit,0.111 USD por hora,0.203 USD por hora,0.1673 USD por hora,0.171 USD por hora
m6i.xlarge,4,2,3.5,16,-,12.5 Gigabit,0.222 USD por hora,0.406 USD por hora,0.2783 USD por hora,0.282 USD por hora
m6i.2xlarge,8,4,3.5,32,-,12.5 Gigabit,0.444 USD por hora,0.812 USD por hora,0.569 USD por hora,0.574 USD por hora
m6i.4xlarge,16,8,3.5,64,-,12.5 Gigabit,0.888 USD por hora,1.624 USD por hora,1.013 USD por hora,1.018 USD por hora
m6i.8xlarge,32,16,3.5,128,-,12.5 Gigabit,1.776 USD por hora,3.248 USD por hora,1.901 USD por hora,1.906 USD por hora
m6i.12xlarge,48,24,3.5,192,-,18.75 Gigabit,2.664 USD por hora,4.872 USD por hora,2.789 USD por hora,2.794 USD por hora
m6i.16xlarge,64,32,3.5,256,-,25 Gigabit,3.552 USD por hora,6.496 USD por hora,3.677 USD por hora,3.682 USD por hora
m6i.24xlarge,96,48,3.5,384,-,37.5 Gigabit,5.328 USD por hora,9.744 USD por hora,5.453 USD por hora,5.458 USD por hora
m6i.32xlarge,128,64,3.5,512,-,50 Gigabit,7.104 USD por hora,12.992 USD por hora,7.229 USD por hora,7.234 USD por hora
m6i.metal,128,64,3.5,512,-,50 Gigabit,7.104 USD por hora,12.992 USD por hora,7.229 USD por hora,7.234 USD por hora
m7g.medium,1,1,2.6,4,-,12.5 Gigabit,0.0472 USD por hora,,0.1035 USD por hora,0.1072 USD por hora
m7g.large,2,2,2.6,8,-,12.5 Gigabit,0.0944 USD por hora,,0.1507 USD por hora,0.1544 USD por hora
m7g.xlarge,4,4,2.6,16,-,12.5 Gigabit,0.1887 USD por hora,,0.245 USD por hora,0.2487 USD por hora
m7g.2xlarge,8,8,2.6,32,-,15 Gigabit,0.3774 USD por hora,,0.5024 USD por hora,0.5074 USD por hora
m7g.4xlarge,16,16,2.6,64,-,15 Gigabit,0.7549 USD por hora,,0.8799 USD por hora,0.8849 USD por hora
m7g.8xlarge,32,32,2.6,128,-,15 Gigabit,1.5098 USD por hora,,1.6348 USD por hora,1.6398 USD por hora
m7g.12xlarge,48,48,2.6,192,-,22.5 Gigabit,2.2646 USD por hora,,2.3896 USD por hora,2.3946 USD por hora
m7g.16xlarge,64,64,2.6,256,-,30 Gigabit,3.0195 USD por hora,,3.1445 USD por hora,3.1495 USD por hora
m7g.metal,64,64,2.6,256,-,30 Gigabit,3.0195 USD por hora,,3.1445 USD por hora,3.1495 USD por hora
m7i.large,2,1,3.2,8,-,12.5 Gigabit,0.11655 USD por hora,0.20855 USD por hora,0.17285 USD por hora,0.17655 USD por hora
m7i.xlarge,4,2,3.2,16,-,12.5 Gigabit,0.2331 USD por hora,0.4171 USD por hora,0.2894 USD por hora,0.2931 USD por hora
m7i.2xlarge,8,4,3.2,32,-,12.5 Gigabit,0.4662 USD por hora,0.8342 USD por hora,0.5912 USD por hora,0.5962 USD por hora
m7i.4xlarge,16,8,3.2,64,-,12.5 Gigabit,0.9324 USD por hora,1.6684 USD por hora,1.0574 USD por hora,1.0624 USD por hora
m7i.8xlarge,32,16,3.2,128,-,12.5 Gigabit,1.8648 USD por hora,3.3368 USD por hora,1.9898 USD por hora,1.9948 USD por hora
m7i.12xlarge,48,24,3.2,192,-,18.75 Gigabit,2.7972 USD por hora,5.0052 USD por hora,2.9222 USD por hora,2.9272 USD por hora
m7i.16xlarge,64,32,3.2,256,-,25 Gigabit,3.7296 USD por hora,6.6736 USD por hora,3.8546 USD por hora,3.8596 USD por hora
m7i.24xlarge,96,48,3.2,384,-,37.5 Gigabit,5.5944 USD por hora,10.0104 USD por hora,5.7194 USD por hora,5.7244 USD por hora
m7i.48xlarge,192,96,3.2,768,-,50 Gigabit,11.1888 USD por hora,20.0208 USD por hora,11.3138 USD por hora,11.3188 USD por hora
m7i.metal-24xl,96,48,3.2,384,-,37.5 Gigabit,5.5944 USD por hora,10.0104 USD por hora,5.7194 USD por hora,5.7244 USD por hora
m7i.metal-48xl,192,96,3.2,768,-,50 Gigabit,11.1888 USD por hora,20.0208 USD por hora,11.3138 USD por hora,11.3188 USD por hora
m7i-flex.large,2,1,3.2,8,-,12.5 Gigabit,0.11072 USD por hora,0.19812 USD por hora,0.16702 USD por hora,0.17072 USD por hora
m7i-flex.xlarge,4,2,3.2,16,-,12.5 Gigabit,0.22144 USD por hora,0.39624 USD por hora,0.27774 USD por hora,0.28144 USD por hora
m7i-flex.2xlarge,8,4,3.2,32,-,12.5 Gigabit,0.44288 USD por hora,0.79248 USD por hora,0.56788 USD por hora,0.57288 USD por hora
m7i-flex.4xlarge,16,8,3.2,64,-,12.5 Gigabit,0.88576 USD por hora,1.58496 USD por hora,1.01076 USD por hora,1.01576 USD por hora
m7i-flex.8xlarge,32,16,3.2,128,-,12.5 Gigabit,1.77152 USD por hora,3.16992 USD por hora,1.89652 USD por hora,1.90152 USD por hora
mac1.metal,12,6,3.2,32,-,25 Gigabit,,,,
p3.2xlarge,8,4,2.7,61,-,10 Gigabit,3.589 USD por hora,3.957 USD por hora,3.689 USD por hora,3.719 USD por hora
p3.8xlarge,32,16,2.7,244,-,10 Gigabit,14.356 USD por hora,15.828 USD por hora,14.456 USD por hora,14.486 USD por hora
p3.16xlarge,64,32,2.7,488,-,25 Gigabit,28.712 USD por hora,31.656 USD por hora,28.812 USD por hora,28.842 USD por hora
r4.large,2,1,2.3,15.3,-,10 Gigabit,0.156 USD por hora,0.248 USD por hora,0.256 USD por hora,0.216 USD por hora
r4.xlarge,4,2,2.3,30.5,-,10 Gigabit,0.312 USD por hora,0.496 USD por hora,0.412 USD por hora,0.372 USD por hora
r4.2xlarge,8,4,2.3,61,-,10 Gigabit,0.624 USD por hora,0.992 USD por hora,0.724 USD por hora,0.754 USD por hora
r4.4xlarge,16,8,2.3,122,-,10 Gigabit,1.248 USD por hora,1.984 USD por hora,1.348 USD por hora,1.378 USD por hora
r4.8xlarge,32,16,2.3,244,-,10 Gigabit,2.496 USD por hora,3.968 USD por hora,2.596 USD por hora,2.626 USD por hora
r4.16xlarge,64,32,2.3,488,-,25 Gigabit,4.992 USD por hora,7.936 USD por hora,5.092 USD por hora,5.122 USD por hora
r5.large,2,1,3.1,16,-,10 Gigabit,0.148 USD por hora,0.24 USD por hora,0.204 USD por hora,0.208 USD por hora
r5.xlarge,4,2,3.1,32,-,10 Gigabit,0.296 USD por hora,0.48 USD por hora,0.352 USD por hora,0.356 USD por hora
r5.2xlarge,8,4,3.1,64,-,10 Gigabit,0.592 USD por hora,0.96 USD por hora,0.717 USD por hora,0.722 USD por hora
r5.4xlarge,16,8,3.1,128,-,10 Gigabit,1.184 USD por hora,1.92 USD por hora,1.309 USD por hora,1.314 USD por hora
r5.8xlarge,32,16,3.1,256,-,10 Gigabit,2.368 USD por hora,3.84 USD por hora,2.493 USD por hora,2.498 USD por hora
r5.12xlarge,48,24,3.1,384,-,12 Gigabit,3.552 USD por hora,5.76 USD por hora,3.677 USD por hora,3.682 USD por hora
r5.16xlarge,64,32,3.1,512,-,20 Gigabit,4.736 USD por hora,7.68 USD por hora,4.861 USD por hora,4.866 USD por hora
r5.24xlarge,96,48,3.1,768,-,25 Gigabit,7.104 USD por hora,11.52 USD por hora,7.229 USD por hora,7.234 USD por hora
r5.metal,96,48,3.1,768,-,25 Gigabit,7.104 USD por hora,11.52 USD por hora,7.229 USD por hora,7.234 USD por hora
r5a.large,2,1,2.5,16,-,10 Gigabit,0.133 USD por hora,0.225 USD por hora,0.189 USD por hora,0.193 USD por hora
r5a.xlarge,4,2,2.5,32,-,10 Gigabit,0.266 USD por hora,0.45 USD por hora,0.322 USD por hora,0.326 USD por hora
r5a.2xlarge,8,4,2.5,64,-,10 Gigabit,0.532 USD por hora,0.9 USD por hora,0.657 USD por hora,0.662 USD por hora
r5a.4xlarge,16,8,2.5,128,-,10 Gigabit,1.064 USD por hora,1.8 USD por hora,1.189 USD por hora,1.194 USD por hora
r5a.8xlarge,32,16,2.5,256,-,10 Gigabit,2.128 USD por hora,3.6 USD por hora,2.253 USD por hora,2.258 USD por hora
r5a.12xlarge,48,24,2.5,384,-,10 Gigabit,3.192 USD por hora,5.4 USD por hora,3.317 USD por hora,3.322 USD por hora
r5a.16xlarge,64,32,2.5,512,-,12 Gigabit,4.256 USD por hora,7.2 USD por hora,4.381 USD por hora,4.386 USD por hora
r5a.24xlarge,96,48,2.5,768,-,20 Gigabit,6.384 USD por hora,10.8 USD por hora,6.509 USD por hora,6.514 USD por hora
r5ad.large,2,1,2.2,16,75,10 Gigabit,0.154 USD por hora,0.246 USD por hora,0.21 USD por hora,0.214 USD por hora
r5ad.xlarge,4,2,2.2,32,150,10 Gigabit,0.308 USD por hora,0.492 USD por hora,0.364 USD por hora,0.368 USD por hora
r5ad.2xlarge,8,4,2.2,64,300,10 Gigabit,0.616 USD por hora,0.984 USD por hora,0.741 USD por hora,0.746 USD por hora
r5ad.4xlarge,16,8,2.2,128,600,10 Gigabit,1.232 USD por hora,1.968 USD por hora,1.357 USD por hora,1.362 USD por hora
r5ad.8xlarge,32,16,2.5,256,1200,10 Gigabit,2.464 USD por hora,3.936 USD por hora,2.589 USD por hora,2.594 USD por hora
r5ad.12xlarge,48,24,2.2,384,1800,10 Gigabit,3.696 USD por hora,5.904 USD por hora,3.821 USD por hora,3.826 USD por hora
r5ad.16xlarge,64,32,2.5,512,2400,12 Gigabit,4.928 USD por hora,7.872 USD por hora,5.053 USD por hora,5.058 USD por hora
r5ad.24xlarge,96,48,2.2,768,3600,20 Gigabit,7.392 USD por hora,11.808 USD por hora,7.517 USD por hora,7.522 USD por hora
r5b.large,2,1,3.1,16,-,10 Gigabit,0.175 USD por hora,0.267 USD por hora,0.2313 USD por hora,0.235 USD por hora
r5b.xlarge,4,2,3.1,32,-,10 Gigabit,0.35 USD por hora,0.534 USD por hora,0.4063 USD por hora,0.41 USD por hora
r5b.2xlarge,8,4,3.1,64,-,10 Gigabit,0.7 USD por hora,1.068 USD por hora,0.825 USD por hora,0.83 USD por hora
r5b.4xlarge,16,8,3.1,128,-,10 Gigabit,1.4 USD por hora,2.136 USD por hora,1.525 USD por hora,1.53 USD por hora
r5b.8xlarge,32,16,3.1,256,-,10 Gigabit,2.8 USD por hora,4.272 USD por hora,2.925 USD por hora,2.93 USD por hora
r5b.12xlarge,48,24,3.1,384,-,12 Gigabit,4.2 USD por hora,6.408 USD por hora,4.325 USD por hora,4.33 USD por hora
r5b.16xlarge,64,32,3.1,512,-,20 Gigabit,5.6 USD por hora,8.544 USD por hora,5.725 USD por hora,5.73 USD por hora
r5b.24xlarge,96,48,3.1,768,-,25 Gigabit,8.4 USD por hora,12.816 USD por hora,8.525 USD por hora,8.53 USD por hora
r5b.metal,96,48,3.1,768,-,25 Gigabit,8.4 USD por hora,12.816 USD por hora,8.525 USD por hora,8.53 USD por hora
r5d.large,2,1,3.1,16,75,10 Gigabit,0.169 USD por hora,0.261 USD por hora,0.225 USD por hora,0.229 USD por hora
r5d.xlarge,4,2,3.1,32,150,10 Gigabit,0.338 USD por hora,0.522 USD por hora,0.394 USD por hora,0.398 USD por hora
r5d.2xlarge,8,4,3.1,64,300,10 Gigabit,0.676 USD por hora,1.044 USD por hora,0.801 USD por hora,0.806 USD por hora
r5d.4xlarge,16,8,3.1,128,600,10 Gigabit,1.352 USD por hora,2.088 USD por hora,1.477 USD por hora,1.482 USD por hora
r5d.8xlarge,32,16,3.1,256,1200,10 Gigabit,2.704 USD por hora,4.176 USD por hora,2.829 USD por hora,2.834 USD por hora
r5d.12xlarge,48,24,3.1,384,1800,12 Gigabit,4.056 USD por hora,6.264 USD por hora,4.181 USD por hora,4.186 USD por hora
r5d.16xlarge,64,32,3.1,512,2400,20 Gigabit,5.408 USD por hora,8.352 USD por hora,5.533 USD por hora,5.538 USD por hora
r5d.24xlarge,96,48,3.1,768,3600,25 Gigabit,8.112 USD por hora,12.528 USD por hora,8.237 USD por hora,8.242 USD por hora
r5d.metal,96,48,3.1,768,3600,25 Gigabit,8.112 USD por hora,12.528 USD por hora,8.237 USD por hora,8.242 USD por hora
r5n.large,2,1,3.1,16,-,25 Gigabit,0.175 USD por hora,0.267 USD por hora,0.231 USD por hora,0.235 USD por hora
r5n.xlarge,4,2,3.1,32,-,25 Gigabit,0.35 USD por hora,0.534 USD por hora,0.406 USD por hora,0.41 USD por hora
r5n.2xlarge,8,4,3.1,64,-,25 Gigabit,0.7 USD por hora,1.068 USD por hora,0.825 USD por hora,0.83 USD por hora
r5n.4xlarge,16,8,3.1,128,-,25 Gigabit,1.4 USD por hora,2.136 USD por hora,1.525 USD por hora,1.53 USD por hora
r5n.8xlarge,32,16,3.1,256,-,25 Gigabit,2.8 USD por hora,4.272 USD por hora,2.925 USD por hora,2.93 USD por hora
r5n.12xlarge,48,24,3.1,384,-,50 Gigabit,4.2 USD por hora,6.408 USD por hora,4.325 USD por hora,4.33 USD por hora
r5n.16xlarge,64,32,3.1,512,-,75 Gigabit,5.6 USD por hora,8.544 USD por hora,5.725 USD por hora,5.73 USD por hora
r5n.24xlarge,96,48,3.1,768,-,100 Gigabit,8.4 USD por hora,12.816 USD por hora,8.525 USD por hora,8.53 USD por hora
r5n.metal,96,48,3.1,768,-,100 Gigabit,8.4 USD por hora,12.816 USD por hora,8.525 USD por hora,8.53 USD por hora
r6g.medium,1,1,2.5,8,-,10 Gigabit,0.0592 USD por hora,,0.0902 USD por hora,0.1192 USD por hora
r6g.large,2,2,2.5,16,-,10 Gigabit,0.1184 USD por hora,,0.1747 USD por hora,0.1784 USD por hora
r6g.xlarge,4,4,2.5,32,-,10 Gigabit,0.2368 USD por hora,,0.2931 USD por hora,0.2968 USD por hora
r6g.2xlarge,8,8,2.5,64,-,10 Gigabit,0.4736 USD por hora,,0.5986 USD por hora,0.6036 USD por hora
r6g.4xlarge,16,16,2.5,128,-,10 Gigabit,0.9472 USD por hora,,1.0722 USD por hora,1.0772 USD por hora
r6g.8xlarge,32,32,2.5,256,-,12 Gigabit,1.8944 USD por hora,,2.0194 USD por hora,2.0244 USD por hora
r6g.12xlarge,48,48,2.5,384,-,20 Gigabit,2.8416 USD por hora,,2.9666 USD por hora,2.9716 USD por hora
r6g.16xlarge,64,64,2.5,512,-,25 Gigabit,3.7888 USD por hora,,3.9138 USD por hora,3.9188 USD por hora
r6g.metal,64,64,2.5,512,-,25 Gigabit,3.7888 USD por hora,,3.9138 USD por hora,3.9188 USD por hora
r6gd.medium,1,1,2.5,8,59,10 Gigabit,0.0676 USD por hora,,0.1239 USD por hora,0.1276 USD por hora
r6gd.large,2,2,2.5,16,118,10 Gigabit,0.1352 USD por hora,,0.1915 USD por hora,0.1952 USD por hora
r6gd.xlarge,4,4,2.5,32,237,10 Gigabit,0.2704 USD por hora,,0.3267 USD por hora,0.3304 USD por hora
r6gd.2xlarge,8,8,2.5,64,474,10 Gigabit,0.5408 USD por hora,,0.6658 USD por hora,0.6708 USD por hora
r6gd.4xlarge,16,16,2.5,128,950,10 Gigabit,1.0816 USD por hora,,1.2066 USD por hora,1.2116 USD por hora
r6gd.8xlarge,32,32,2.5,256,1900,12 Gigabit,2.1632 USD por hora,,2.2882 USD por hora,2.2932 USD por hora
r6gd.12xlarge,48,48,2.5,384,2850,20 Gigabit,3.2448 USD por hora,,3.3698 USD por hora,3.3748 USD por hora
r6gd.16xlarge,64,64,2.5,512,3800,25 Gigabit,4.3264 USD por hora,,4.4514 USD por hora,4.4564 USD por hora
r6gd.metal,64,64,2.5,512,3800,25 Gigabit,4.3264 USD por hora,,4.4514 USD por hora,4.4564 USD por hora
r6i.large,2,1,3.5,16,-,12.5 Gigabit,0.148 USD por hora,0.24 USD por hora,0.2043 USD por hora,0.208 USD por hora
r6i.xlarge,4,2,3.5,32,-,12.5 Gigabit,0.296 USD por hora,0.48 USD por hora,0.3523 USD por hora,0.356 USD por hora
r6i.2xlarge,8,4,3.5,64,-,12.5 Gigabit,0.592 USD por hora,0.96 USD por hora,0.717 USD por hora,0.722 USD por hora
r6i.4xlarge,16,8,3.5,128,-,12.5 Gigabit,1.184 USD por hora,1.92 USD por hora,1.309 USD por hora,1.314 USD por hora
