Tipo de instancia,Familia de instancias,Tamaño de instancia,Zonas de disponibilidad,Elegible para la capa gratuita,Prueba gratuita disponible,Sin sistema operativo,Hipervisor,CPU virtuales,Arquitectura,Núcleos,Núcleos válidos,Subprocesos por núcleo,Subprocesos válidos por núcleo,Velocidad de reloj constante (GHz),Memoria (GiB),Almacenamiento (GB),Almacenamiento local de la instancia,Tipo de almacenamiento,Recuento de discos de almacenamiento,Compatibilidad con el cifrado de EBS,Compatibilidad con la optimización de EBS,Rendimiento de la red,Compatibilidad con ENA,Cantidad máxima de interfaces de red,Direcciones IPv4 por interfaz,Direcciones IPv6 por interfaz,Compatibilidad con IPv6,Estrategias de grupos de ubicación admitidas,GPU,FPGA,Compatibilidad con la recuperación automática,Tipos de dispositivos raíz admitidas,Compatibilidad con los alojamientos dedicados,Compatibilidad con la hibernación bajo demanda,Compatibilidad con el rendimiento ampliable en ráfagas,Generación actual,Compatibilidad con ENA Express,Bajo demanda Linux precios,Bajo demanda Windows precios,Bajo demanda SUSE precios,Bajo demanda RHEL precios
c5.9xlarge,c5,9xlarge,"eu-west-2c, eu-west-2b, eu-west-2a",falso,falso,falso,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,1.818 USD por hora,3.474 USD por hora,1.918 USD por hora,1.948 USD por hora
c5.12xlarge,c5,12xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,verdadero,-,verdadero,false,2.424 USD por hora,4.632 USD por hora,2.524 USD por hora,2.554 USD por hora
c5.18xlarge,c5,18xlarge,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,verdadero,verdadero,-,verdadero,false,3.636 USD por hora,6.948 USD por hora,3.736 USD por hora,3.766 USD por hora
c5.24xlarge,c5,24xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,4.848 USD por hora,9.264 USD por hora,4.948 USD por hora,4.978 USD por hora
c5.metal,c5,metal,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,verdadero,,96,x86_64,48,-,2,-,3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,4.848 USD por hora,9.264 USD por hora,4.948 USD por hora,4.978 USD por hora
c5a.large,c5a,large,"eu-west-2a, eu-west-2c, eu-west-2b",falso,falso,falso,nitro,2,x86_64,1,1,2,"1,2",3.3,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,0.091 USD por hora,0.183 USD por hora,0.147 USD por hora,0.151 USD por hora
c5a.xlarge,c5a,xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,0.182 USD por hora,0.366 USD por hora,0.238 USD por hora,0.242 USD por hora
c5a.2xlarge,c5a,2xlarge,"eu-west-2b, eu-west-2a, eu-west-2c",falso,falso,falso,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,0.364 USD por hora,0.732 USD por hora,0.489 USD por hora,0.494 USD por hora
c5a.4xlarge,c5a,4xlarge,"eu-west-2b, eu-west-2c, eu-west-2a",falso,falso,falso,nitro,16,x86_64,8,"1,2,3,4,8",2,"1,2",3.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,0.728 USD por hora,1.464 USD por hora,0.853 USD por hora,0.858 USD por hora
c5a.8xlarge,c5a,8xlarge,"eu-west-2a, eu-west-2b, eu-west-2c",falso,falso,falso,nitro,32,x86_64,16,"1,2,3,4,8,12,16",2,"1,2",3.3,64,-,-,-,-,supported,default,10 Gigabit,required,8,30,30,verdadero,"cluster, partition, spread",-,-,verdadero,ebs,-,-,-,verdadero,false,1.456 USD por hora,2.928 USD por hora,1.581 USD por hora,1.586 USD por hora
